feature,importance,cumulative_importance
annual_premium,0.6650476679510006,0.6650476679510006
monthly_premium,0.27256753890308033,0.9376152068540808
network_tier,0.05606066082776976,0.9936758676818506
total_claims_paid,0.005234613957995372,0.998910481639846
deductible,0.000640193797528852,0.9995506754373749
ldl,8.245351169918058e-05,0.9996331289490741
income,5.7791703454723504e-05,0.9996909206525288
avg_claim_amount,4.229389928684812e-05,0.9997332145518157
systolic_bp,4.1505876466903635e-05,0.9997747204282826
urban_rural,2.558351630284606e-05,0.9998003039445855
age,2.4450650573237647e-05,0.9998247545951587
claims_count,2.123177155665912e-05,0.9998459863667154
proc_imaging_count,1.7525246312381907e-05,0.9998635116130278
visits_last_year,1.5981618733891757e-05,0.9998794932317616
education,1.470471897666153e-05,0.9998941979507383
bmi,1.1150838778547319e-05,0.9999053487895169
marital_status,1.0449429361105497e-05,0.999915798218878
smoker,7.620830258061622e-06,0.9999234190491361
employment_status,7.319546019799412e-06,0.9999307385951559
sex,6.811732316742348e-06,0.9999375503274727
proc_consult_count,6.053685979204035e-06,0.9999436040134518
alcohol_freq,5.678406693340905e-06,0.9999492824201451
hba1c,5.510233445580825e-06,0.9999547926535907
proc_physio_count,5.371384523320242e-06,0.9999601640381139
household_size,4.290980048315122e-06,0.9999644550181622
diastolic_bp,4.2076102853410876e-06,0.9999686626284475
is_high_risk,4.180364899045627e-06,0.9999728429933465
copay,4.169292398598215e-06,0.9999770122857451
region,3.7478507474437067e-06,0.9999807601364925
dependents,3.742746701723131e-06,0.9999845028831942
arthritis,2.9332742728151013e-06,0.999987436157467
diabetes,2.1523051319237214e-06,0.9999895884625989
hospitalizations_last_3yrs,2.0761070200759983e-06,0.999991664569619
medication_count,2.065719199980915e-06,0.999993730288819
chronic_count,1.9008410774402129e-06,0.9999956311298964
proc_surgery_count,1.815952200903884e-06,0.9999974470820974
days_hospitalized_last_3yrs,1.3094275443221271e-06,0.9999987565096417
had_major_procedure,7.23273652657846e-07,0.9999994797832943
hypertension,5.202167056484456e-07,0.9999999999999999
plan_type,0.0,0.9999999999999999
liver_disease,0.0,0.9999999999999999
kidney_disease,0.0,0.9999999999999999
cancer_history,0.0,0.9999999999999999
cardiovascular_disease,0.0,0.9999999999999999
asthma,0.0,0.9999999999999999
copd,0.0,0.9999999999999999
mental_health,0.0,0.9999999999999999
proc_lab_count,0.0,0.9999999999999999
