Feature,Importance,Std
monthly_premium,0.2618316214889539,0.006225057907799489
annual_premium,0.2614247140149849,0.006217018676675459
total_claims_paid,0.1711475392565915,0.005844485104355652
avg_claim_amount,0.03686175897335282,0.0033291674821654955
chronic_count,0.023449622210263543,0.0008899019763477219
risk_score,0.022842431846364874,0.001262309364484066
days_hospitalized_last_3yrs,0.022710804378781944,0.0011581386610338927
claims_count,0.020523970404677284,0.00205679339748386
had_major_procedure,0.015940140292795647,0.000588856632644909
proc_surgery_count,0.012719447211255197,0.00027638618940894826
hospitalizations_last_3yrs,0.009745543732881279,0.0006463773175315074
age,0.00790157224105883,0.00045336491116282324
visits_last_year,0.005618171295585594,0.001635352618143758
diabetes,0.005537182690712905,0.00045035160345684286
hypertension,0.005327615822331167,0.0006136415656728896
is_high_risk,0.00432846165260492,0.0004852916465767484
systolic_bp,0.003675654029094888,0.0011381603870339345
hba1c,0.003378486958790372,0.001561443574369578
arthritis,0.0031931278489424784,0.0012415975710219007
mental_health,0.0030095170026724015,0.0011384339287604083
copd,0.0029554197278287785,0.0026026067638817325
diastolic_bp,0.002941510905424738,0.001299189025002355
liver_disease,0.002355080302849277,0.0013940268728096295
asthma,0.0013534905445450995,0.0004015716804630996
cardiovascular_disease,0.0012725621871919834,0.001687080614163107
smoker,0.0003732862224797184,0.0009426252062927111
medication_count,0.00016929419884663676,0.000974571020331398
proc_consult_count,-0.0010223380963370276,0.0005577874275264483
proc_imaging_count,-0.001938506096991821,0.0016162174403921794
proc_lab_count,-0.0027971972070635507,0.001254219471014109
